monument,monumentLabel,countryLabel,styleLabel
http://www.wikidata.org/entity/Q3852976,Monument to cardinal De Braye,Италия,готическая скульптура
http://www.wikidata.org/entity/Q3323370,Héloïse and Abélard's tomb,Франция,неоготика
http://www.wikidata.org/entity/Q11363889,Chūson-ji Konjikidō,Япония,Pure Land worship
http://www.wikidata.org/entity/Q20875264,Panteó Mundet,Испания,каталонский модерн
http://www.wikidata.org/entity/Q20875307,Sepulcre de la família Majó,Испания,неоклассицизм
http://www.wikidata.org/entity/Q20875307,Sepulcre de la família Majó,Испания,романтизм
http://www.wikidata.org/entity/Q20875308,Sepulcre de la família Solà-Vinardell,Испания,каталонский модерн
http://www.wikidata.org/entity/Q23758886,Tomba de la Família Rahola-Serinyana,Испания,модерн
http://www.wikidata.org/entity/Q23759128,Sepulcre Janer,Испания,модерн
http://www.wikidata.org/entity/Q23782045,Mausoleu de la Família Vilaret,Испания,модерн
http://www.wikidata.org/entity/Q11789065,Nagrobek rodziny Kryskich w Drobinie,Польша,маньеризм
http://www.wikidata.org/entity/Q29439275,Panteón Guirao,Испания,модерн
http://www.wikidata.org/entity/Q30251006,Monument funerari,Испания,модерн
http://www.wikidata.org/entity/Q59298280,Mausoleo de la vizcondesa de Térmens,Испания,неоклассицизм
http://www.wikidata.org/entity/Q826635,Elephant and Obelisk,Италия,барокко
http://www.wikidata.org/entity/Q23783521,могила Жака-Луи Давида,Бельгия,классицизм
http://www.wikidata.org/entity/Q3501412,Stele of Avile Tite,Италия,этрусское искусство
http://www.wikidata.org/entity/Q5912468,Omar Khayyam Stele,Иран,Пехлевийское исусство
http://www.wikidata.org/entity/Q27814154,Stela grobowa Nacht-Mahes-eru,Польша,искусство Древнего Египта
http://www.wikidata.org/entity/Q27915675,Stela kapłana (Pia i jego żony Jia),Польша,искусство Древнего Египта
http://www.wikidata.org/entity/Q27926527,Stele of Aristion,Греция,эллинистическое искусство
http://www.wikidata.org/entity/Q110316909,Стены и ворота Троицко-Ильинского монастыря,Украина,украинское барокко
http://www.wikidata.org/entity/Q124324535,Слава покорителям космоса!,Россия,социалистический реализм
http://www.wikidata.org/entity/Q126417669,Grave of Alvisi,Италия,модерн
http://www.wikidata.org/entity/Q126417669,Grave of Alvisi,Италия,стиль либерти
http://www.wikidata.org/entity/Q135196626,náhrobek Ester Syrakovské z Pierkova a náhrobek jejích čtyř dětí,Чехия,Возрождение
http://www.wikidata.org/entity/Q1920554,Weilheimer Menhir,Германия,ранний бронзовый век
http://www.wikidata.org/entity/Q1920554,Weilheimer Menhir,Германия,Neckar-Gruppe
http://www.wikidata.org/entity/Q60674525,Creu de Tragó de Noguera,Испания,романское искусство Каталонии
http://www.wikidata.org/entity/Q112217740,Sousoší loučení Krista s Pannou Marií v Hrádku,Чехия,барокко
http://www.wikidata.org/entity/Q11704766,Triunfo de San Rafael de la plaza del Potro,Испания,скульптура барокко
http://www.wikidata.org/entity/Q133502854,Gusseisernes Grabkreuz Christoph Schmedes,Германия,неоготика
http://www.wikidata.org/entity/Q16341268,Labor and Defense,Израиль,модернизм
http://www.wikidata.org/entity/Q5760451,"Sepulcro de los Santos Mártires, Basilica of San Vicente, Ávila",Испания,романское искусство
http://www.wikidata.org/entity/Q134966999,Cenotaph of Beatriz Galindo,Испания,Возрождение
http://www.wikidata.org/entity/Q134967133,Cenotaph of Francisco Ramírez,Испания,Возрождение
http://www.wikidata.org/entity/Q135579819,Kenotaph of Frederik I of Denmark,Германия,искусство Возрождения
http://www.wikidata.org/entity/Q3323267,monument aux Morts de Court-Saint-Étienne,Бельгия,эклектика
http://www.wikidata.org/entity/Q660876,New Sacristy,Италия,итальянское Возрождение
http://www.wikidata.org/entity/Q1219934,Разрушенный город (скульптура),Нидерланды,абстрактный экспрессионизм
http://www.wikidata.org/entity/Q14628538,Jardin de l'abbaye (Vierzon),Франция,ар-деко
http://www.wikidata.org/entity/Q17347146,Monument national à la Résistance du plateau des Glières,Франция,современное искусство
http://www.wikidata.org/entity/Q17347146,Monument national à la Résistance du plateau des Glières,Франция,паблик-арт
http://www.wikidata.org/entity/Q21601145,"Pierre tombale de Bernard Guillaume, chanoine de Saint-Sernin",Франция,готическая скульптура
http://www.wikidata.org/entity/Q21604976,Pierre tombale de Guillaume de Vitalis de Mongauzy,Франция,готическая скульптура
http://www.wikidata.org/entity/Q27106772,"Musée Saint-Raymond, Ra 385",Франция,скульптура Древнего Рима
