monument,monumentLabel,countryLabel,styleLabel,inceptionYear
http://www.wikidata.org/entity/Q484458,Бамианские статуи Будды,Афганистан,греко-буддистское искусство,
http://www.wikidata.org/entity/Q2968363,Château d'eau de l'Ermite,Бельгия,ар-деко,
http://www.wikidata.org/entity/Q110377545,War memorial Ledebergplein,Бельгия,ар-деко,
http://www.wikidata.org/entity/Q112032217,Amazon Monument,Бенин,социалистический реализм,
http://www.wikidata.org/entity/Q132491295,Baptismal font of Mariä Mutterschaft (Rothenstadt),Германия,неоготика,
http://www.wikidata.org/entity/Q132567190,Q132567190,Германия,романское искусство,
http://www.wikidata.org/entity/Q134300125,Baptismal font of St. Andreas (Weißenburg in Bayern),Германия,готика,
http://www.wikidata.org/entity/Q134531845,Baptismal font of St. Michael (Sausenhofen),Германия,неоготика,
http://www.wikidata.org/entity/Q134620210,Baptismal font of Stadtkirche (Hersbruck),Германия,неоклассицизм,
http://www.wikidata.org/entity/Q108861222,Harir rock-relief,Ирак,искусство Парфянского царства,
http://www.wikidata.org/entity/Q838548,Tang-e Vashi relief,Иран,Каджарское искусство,
http://www.wikidata.org/entity/Q5718838,Gotarzes I relief (Bisotun),Иран,искусство Парфянского царства,
http://www.wikidata.org/entity/Q5863270,Gotarzes II relief (Bisotun),Иран,искусство Парфянского царства,
http://www.wikidata.org/entity/Q5877618,Sarab-e Bahram relief,Иран,искусство государства Сасанидов,
http://www.wikidata.org/entity/Q5881988,Vologases relief,Иран,искусство Парфянского царства,
http://www.wikidata.org/entity/Q5912468,Omar Khayyam Stele,Иран,Пехлевийское исусство,
http://www.wikidata.org/entity/Q5914092,Teymur Mirza relief,Иран,Каджарское искусство,
http://www.wikidata.org/entity/Q5937800,Naser al-Din Shah relief,Иран,Каджарское искусство,
http://www.wikidata.org/entity/Q5960405,Sar Mashhad relief,Иран,искусство государства Сасанидов,
http://www.wikidata.org/entity/Q5939534,Farhad Tarash,Иран,искусство государства Сасанидов,
http://www.wikidata.org/entity/Q5760451,"Sepulcro de los Santos Mártires, Basilica of San Vicente, Ávila",Испания,романское искусство,
http://www.wikidata.org/entity/Q19368112,Monument del Lleó,Испания,модерн,
http://www.wikidata.org/entity/Q23758886,Tomba de la Família Rahola-Serinyana,Испания,модерн,
http://www.wikidata.org/entity/Q23759128,Sepulcre Janer,Испания,модерн,
http://www.wikidata.org/entity/Q23782045,Mausoleu de la Família Vilaret,Испания,модерн,
http://www.wikidata.org/entity/Q23811245,Monument als Caiguts,Испания,модерн,
http://www.wikidata.org/entity/Q30240083,Q30240083,Испания,модерн,
http://www.wikidata.org/entity/Q30251006,Q30251006,Испания,модерн,
http://www.wikidata.org/entity/Q30251153,Q30251153,Испания,модерн,
http://www.wikidata.org/entity/Q97961678,Daoiz and Velarde,Испания,историзм,
http://www.wikidata.org/entity/Q97961678,Daoiz and Velarde,Испания,историзм,
http://www.wikidata.org/entity/Q134966999,Cenotaph of Beatriz Galindo,Испания,Возрождение,
http://www.wikidata.org/entity/Q134967133,Cenotaph of Francisco Ramírez,Испания,Возрождение,
http://www.wikidata.org/entity/Q267971,Фонтан Тритона,Италия,барокко,
http://www.wikidata.org/entity/Q2253879,Hypogeum of the Volumnus family,Италия,этрусское искусство,
http://www.wikidata.org/entity/Q113383728,Chapel of Saint Francis Xavier (Il Gesù),Италия,Контрреформация,
http://www.wikidata.org/entity/Q2182509,Христос с крестом,Италия,Высокий Ренессанс,
http://www.wikidata.org/entity/Q120653766,Memorial de la Guardería ABC,Мексика,Anti-monuments in Mexico,
http://www.wikidata.org/entity/Q17463646,Q17463646,Нидерланды,архитектура неоклассицизма,
http://www.wikidata.org/entity/Q2384491,Фонтан Дубай,Объединённые Арабские Эмираты,архитектура постмодернизма,
http://www.wikidata.org/entity/Q7732911,The Eye That Cries,Перу,брутализм,
http://www.wikidata.org/entity/Q7732911,The Eye That Cries,Перу,брутализм,
http://www.wikidata.org/entity/Q7732911,The Eye That Cries,Перу,брутализм,
http://www.wikidata.org/entity/Q7732911,The Eye That Cries,Перу,брутализм,
http://www.wikidata.org/entity/Q24964550,Мемориал геноцида в Ньямате,Руанда,всемирное наследие,
http://www.wikidata.org/entity/Q110316909,Стены и ворота Троицко-Ильинского монастыря,Украина,украинское барокко,
http://www.wikidata.org/entity/Q2887448,Bassin Plat fond,Франция,классицизм,
http://www.wikidata.org/entity/Q3076006,Clémence Isaure fountain,Франция,модерн,
http://www.wikidata.org/entity/Q3076202,fontaine de la Paix,Франция,неоклассицизм,
http://www.wikidata.org/entity/Q3076263,fontaine du Palais de Tokyo,Франция,ар-деко,
http://www.wikidata.org/entity/Q14628538,Jardin de l'abbaye (Vierzon),Франция,ар-деко,
http://www.wikidata.org/entity/Q21099740,Ротонда парка Монсо,Франция,архитектура неоклассицизма,
http://www.wikidata.org/entity/Q27106772,"Musée Saint-Raymond, Ra 385",Франция,скульптура Древнего Рима,
http://www.wikidata.org/entity/Q29327970,Fonts baptismaux,Франция,готика,
http://www.wikidata.org/entity/Q78518742,Q78518742,Франция,романское искусство,
http://www.wikidata.org/entity/Q132587412,Q132587412,Франция,готика,
http://www.wikidata.org/entity/Q134579753,Baptismal font of Saint-Pierre (Brancion),Франция,романское искусство,
http://www.wikidata.org/entity/Q134607827,Baptismal font of Église Saint-Martin (Châtel-Moron),Франция,романское искусство,
http://www.wikidata.org/entity/Q20860978,Jan Hus Memorial,Чехия,модерн,
http://www.wikidata.org/entity/Q37428952,Maria Column in Kovářská,Чехия,барокко,
http://www.wikidata.org/entity/Q37812678,Cultural monuments in Lužec nad Cidlinou,Чехия,барокко,
http://www.wikidata.org/entity/Q37813334,Maria column in Lípa,Чехия,барокко,
http://www.wikidata.org/entity/Q37821857,Maria column in Mohelnice,Чехия,барокко,
http://www.wikidata.org/entity/Q38037831,Holy Trinity column in Nový Malín,Чехия,архитектура неоклассицизма,
